,Sheep,Pig,Cow,Goat
Meat Diet Portion,0.36%,3.63%,4.73%,1.18%
Meat MCal Target,324.31,"3,310.87","4,319.04","1,079.53"
Potential Dairy Value attached to each juvenile,132.54,0.00,1015.20,126.90
Value per juvenile,48.00,160.00,640.00,48.00
Adjusted Dairy Value attached to juvenile based on Dairy Utilization,66.27,0.00,507.60,63.45
Culled Mothers Value,14.77,4.41,105.26,14.77
Culled Adult Males,0.74,0.22,5.26,0.74
Final Value per juvenile,63.51,164.63,750.53,63.51
Value MCals,63.51,164.63,750.53,63.51
Offspring required Year-1,5.11,20.11,5.75,17.00
MCals from meat,324.31,3310.87,4319.04,1079.53
Max Utilized Mcals allowed from Dairy,338.42,0.00,2921.07,1078.55
MCals actually Utilized from Dairy,338.42,0.00,2921.07,1078.55
Percent of diet from their meat,0.36%,3.63%,4.73%,1.18%
Percent of Diet from their Dairy,0.37%,0.00%,3.20%,1.18%
Kg Fleece,40.13,0.00,0.00,0.00
1 Year+ (age) skins,2.20,1.06,1.29,6.62
Yearly Offspring skins,9.89,24.29,8.85,31.53
,,,,
Birthing Events per year,1.00,1.86,1.00,1.00
Offspring Mother-1  Year-1,0.56,5.47,0.68,0.56
Mothers Step 1,9.12,3.67,8.46,30.35
Males Step 1,2.55,10.06,2.88,8.50
Females Step 1,2.55,10.06,2.88,8.50
Replacement Mothers per year,2.12,1.03,1.25,6.37
Breeding Males Required,0.48,0.19,0.44,1.59
Additional Mothers,8.54,0.76,4.55,25.94
Males Step 2,2.39,2.09,1.55,7.26
Females 2,2.39,2.09,1.55,7.26
,,,,
Total Mothers,11.24,4.71,9.71,36.73
Total Males,4.95,12.15,4.42,15.76
Total Females,0.16,7.97,1.33,1.24
Total Offspring,9.89,24.29,8.85,31.53
Total Animals,16.83,25.01,15.91,55.32
People per person,1.00,,,
Total Adults per Hectare,2.21,0.35,0.53,2.16
Total Offspring per Hectare,1.08,1.43,0.32,1.06
,0.26%,,3.10%,0.83%
Total Adults,20,6,15,64
,,,,
,,,,
Total Offspring,10,24,9,32
Days for Maintenance,5.00,220.00,0.00,5.00
Dry Mothers,1.35,0.00,0.86,5.20
Other,158.25,0.00,0.00,504.40
MCals  Dry Mothers,"1,579.56",0.00,"1,817.44","6,073.85"
total Maintenance MCals,"1,737.81",0.00,"1,817.44","6,578.25"
